Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	41.992996	47.93497	94.83001	-36.966103	708.8	-42.00629	0.01140044	-41.930264	-42.010815	112000	6.198883e-09	2105.2305	-0.0070062345	-60.887573	0.99669224	0.00041837667	0.04275	79.0	235.0554003715515
28	-34.642994	69.2215	112.11476	-112.670334	507.0	-40.67418	0.0098745385	-40.59254	-40.67822	116000	9.894371e-09	2850.3403	-0.00858644	-0.18188477	1.0230765	0.013245531	0.095	79.0	247.25821471214294
29	71.80749	64.70809	152.65689	-41.749607	767.6	-40.492813	0.017173955	-40.282524	-40.499004	120000	8.34465e-09	3700.3486	-0.008362818	-145.36182	1.0695151	0.004455943	0.07525	79.0	262.9655680656433
30	41.071983	56.01832	101.581856	-50.24227	806.5	-38.447968	0.01590074	-38.353256	-38.454193	124000	-8.8214875e-09	1635.645	-0.008730351	-40.32141	0.9973435	0.008862829	0.05375	79.0	279.416396856308
31	22.936981	90.01327	178.08994	-121.08892	603.0	-37.227066	0.02473604	-36.903072	-37.23408	128000	9.775162e-09	3804.5686	-0.0073497226	-118.721924	1.017475	0.0058356714	0.087	79.0	292.6195104122162
32	42.940895	69.418526	162.08626	-26.591063	733.6	-35.27161	0.0211155	-35.13918	-35.280544	132000	8.642673e-09	2607.6592	-0.0057871593	-55.091064	1.0847944	0.005547668	0.082	79.0	307.9354929924011
33	-13.437819	137.87744	95.79954	-248.90149	911.75	-33.849804	0.022305777	-33.693325	-33.85828	136000	-3.9339065e-09	6762.092	-0.0071118316	-9.267578	1.0764853	0.0012720634	0.05225	79.0	325.8468599319458
34	20.595396	95.1053	189.15906	-98.996086	617.5	-34.326588	0.021288946	-33.94991	-34.334293	140000	-4.529953e-09	4024.9265	-0.0056503704	-22.427979	0.9588883	0.008430015	0.0685	79.0	338.86485719680786
35	75.24053	93.31742	186.27629	-85.35395	623.6667	-33.50112	0.011773434	-33.322716	-33.50563	144000	-1.2040139e-08	6731.59	-0.011946024	-281.34473	0.99990535	0.015205325	0.13025	68.0	352.8259708881378
36	23.947899	48.367767	89.024765	-28.958832	830.75	-30.377682	0.014522976	-30.265087	-30.384064	148000	-9.536744e-10	2105.764	-0.0062521696	-3.7719727	1.0663201	0.015150508	0.1945	30.0	370.4026520252228
37	3.4842536	48.503147	60.93237	-69.07421	758.8	-29.801867	0.009516496	-29.720644	-29.806551	152000	1.7881393e-09	1299.0468	-0.0073372037	-2.850708	1.0666455	0.010925033	0.11225	79.0	387.77796173095703
